subject	date	ip	didPractice	quizAttempts	age	gender	CRT1	CRT2	CRT3	comment
S8400090	08/February/2021	69.206.94.117	TRUE	1	72	F	4 hours	10 hours	$1	 I mostly just headed toward the area with the most black blocks, then I switched and headed toward the closest, however few in number.
S64663250	08/February/2021	71.245.55.135	TRUE	1	31	F	7	10	1	 I just went the way I felt. Based on gutbfeeling.
S47804928	26/October/2020	108.30.47.7	FALSE		44	M	3 hours	10 hours	2 dollars	 Most of the time I usually went towards where there were more black squares rather than a single one. Sometimes I just used my intuition on which way to go. I did not run into any problems in this survey. Happy To Participate.
S17865914	07/November/2020	104.193.58.75	TRUE	1	33	F	6 hours	10 hours	$1	 I felt that the bigger the space, the more likely it was to be there, and most of the time I was lucky with this approach. I only started with the smaller room if it was really close, and also took the relative proportion of their sizes into account, but intuitively - I did not count anything exactly. I wonder how do people do on average in this task, I would like to see how I compare to other people.
S73803980	08/February/2021	68.12.141.86	TRUE	1	59	M	6	10	1	 tried to take path that would uncover most with the fewest steps first
S99057858	18/November/2020	24.127.94.39	TRUE	1	53	M	7 hours	10 hours	1.00	 Tried to minimize the need to backtrack.
S5630936	07/February/2021	173.89.48.81	TRUE	1	32	M	7	100	1	 typically the longest path prooved to have the red square, but i would usually go the shortest route first to check.
S59543242	09/February/2021	47.41.128.85	TRUE	1	46	M	7	10	1	 go towards the most black spaces, unless there was one really close by
S2231716	19/November/2020	45.47.113.133	TRUE	1	33	F	7	10	1	 I wanted to avoid having to backtrack later so I tried to get the stuff close to me first.
S6822061	08/February/2021	76.174.91.177	TRUE	1	31	M	6	10	1	 I tried to go the shortest route that would reveal the most black squares. I also tried to avoid back tracking through the maze.
S96025731	09/February/2021	73.224.141.132	TRUE	1	23	F	4 hours	10 hours	1 dollar	 I wanted to clear the most black spots
S40075314	09/February/2021	73.23.2.111	TRUE	1	30	M	4	100	2	 just follow the instructions. Nice task and thanks for the opportunity.
