world,node,child,value_0.2_1_1,value_0.28_1_1,value_0.391_1_1,value_0.547_1_1,value_0.765_1_1,value_1.07_1_1,value_1.496_1_1,value_2.092_1_1,value_2.925_1_1,value_4.091_1_1,value_5.721_1_1,value_8_1_1
Equal_2vs5_mirror,N86472,N73070,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Equal_2vs5_mirror,N86472,N12601,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
3ways_2_mirror,N20537,N61048,0.0135,0.044,0.0958,0.1566,0.2103,0.2504,0.2778,0.296,0.3079,0.3159,0.3212,0.3249
3ways_2_mirror,N20537,N53349,0.0032,0.0159,0.0461,0.0929,0.1448,0.1917,0.2295,0.2582,0.2793,0.2946,0.3056,0.3135
3ways_2_mirror,N20537,N38759,0.9832,0.9401,0.858,0.7505,0.6449,0.5579,0.4927,0.4458,0.4128,0.3895,0.3732,0.3616
3ways_2_mirror,N61048,N31028,0.0013,0.0085,0.032,0.0804,0.1489,0.2234,0.2908,0.3458,0.388,0.4192,0.442,0.4584
3ways_2_mirror,N61048,N14684,0.9987,0.9915,0.968,0.9196,0.8511,0.7766,0.7092,0.6542,0.612,0.5808,0.558,0.5416
3ways_2_mirror,N53349,N22906,1.0,1.0,1.0,1.0,1.0,0.9999,0.999,0.9931,0.9722,0.927,0.8603,0.7858
3ways_2_mirror,N53349,N23735,0.0,0.0,0.0,0.0,0.0,0.0001,0.001,0.0069,0.0278,0.073,0.1397,0.2142
3ways_2_mirror,N38759,N26939,1.0,1.0,1.0,1.0,1.0,0.9994,0.9953,0.9786,0.9391,0.876,0.8019,0.7311
3ways_2_mirror,N38759,N82844,0.0,0.0,0.0,0.0,0.0,0.0006,0.0047,0.0214,0.0609,0.124,0.1981,0.2689
Equal_10vs2_mirror,N74542,N84331,0.8603,0.7856,0.7171,0.6603,0.6166,0.5842,0.5605,0.5433,0.531,0.5222,0.5159,0.5114
Equal_10vs2_mirror,N74542,N25495,0.1397,0.2144,0.2829,0.3397,0.3834,0.4158,0.4395,0.4567,0.469,0.4778,0.4841,0.4886
6vs1_2_mirror,N96941,N61632,0.0,0.0,0.0,0.0004,0.0037,0.0179,0.0539,0.1142,0.1877,0.2597,0.321,0.3692
6vs1_2_mirror,N96941,N99612,1.0,1.0,1.0,0.9996,0.9963,0.9821,0.9461,0.8858,0.8123,0.7403,0.679,0.6308
Equal_10vs2,N92580,N16553,0.8603,0.7856,0.7171,0.6603,0.6166,0.5842,0.5605,0.5433,0.531,0.5222,0.5159,0.5114
Equal_10vs2,N92580,N51698,0.1397,0.2144,0.2829,0.3397,0.3834,0.4158,0.4395,0.4567,0.469,0.4778,0.4841,0.4886
Equal_6vs3,N93546,N45994,0.0344,0.0846,0.1538,0.2282,0.295,0.3491,0.3904,0.421,0.4433,0.4594,0.4709,0.4792
Equal_6vs3,N93546,N73133,0.9656,0.9154,0.8462,0.7718,0.705,0.6509,0.6096,0.579,0.5567,0.5406,0.5291,0.5208
Loop_2_mirror,N90706,N65692,0.1848,0.2419,0.281,0.305,0.3184,0.3255,0.3293,0.3313,0.3323,0.3328,0.3331,0.3332
Loop_2_mirror,N90706,N52431,0.0443,0.0872,0.1353,0.1809,0.2191,0.2493,0.2721,0.289,0.3014,0.3103,0.3168,0.3215
Loop_2_mirror,N90706,N61240,0.771,0.671,0.5836,0.5142,0.4625,0.4252,0.3986,0.3797,0.3664,0.3569,0.3501,0.3453
