world,node,child,value_0.2_0,value_0.28_0,value_0.391_0,value_0.547_0,value_0.765_0,value_1.07_0,value_1.496_0,value_2.092_0,value_2.925_0,value_4.091_0,value_5.721_0,value_8_0
Equal_2vs5_mirror,N86472,N73070,0.0,0.0,0.0005,0.0041,0.0194,0.0571,0.1186,0.1925,0.2639,0.3245,0.3718,0.4073
Equal_2vs5_mirror,N86472,N12601,1.0,1.0,0.9995,0.9959,0.9806,0.9429,0.8814,0.8075,0.7361,0.6755,0.6282,0.5927
3ways_2_mirror,N20537,N61048,0.0,0.0,0.0005,0.004,0.0181,0.0499,0.0963,0.1469,0.1924,0.2294,0.2577,0.2787
3ways_2_mirror,N20537,N53349,0.0,0.0008,0.006,0.0251,0.067,0.127,0.188,0.2369,0.2709,0.2929,0.3069,0.3158
3ways_2_mirror,N20537,N38759,1.0,0.9992,0.9936,0.9709,0.9149,0.8232,0.7157,0.6162,0.5367,0.4776,0.4354,0.4055
3ways_2_mirror,N61048,N31028,0.0,0.0008,0.006,0.0252,0.0682,0.1336,0.208,0.2777,0.3354,0.3802,0.4135,0.4378
3ways_2_mirror,N61048,N14684,1.0,0.9992,0.994,0.9748,0.9318,0.8664,0.792,0.7223,0.6646,0.6198,0.5865,0.5622
3ways_2_mirror,N53349,N22906,1.0,1.0,0.9995,0.9959,0.9806,0.9429,0.8814,0.8075,0.7361,0.6755,0.6282,0.5927
3ways_2_mirror,N53349,N23735,0.0,0.0,0.0005,0.0041,0.0194,0.0571,0.1186,0.1925,0.2639,0.3245,0.3718,0.4073
3ways_2_mirror,N38759,N26939,0.9933,0.9727,0.9281,0.8615,0.787,0.718,0.6612,0.6173,0.5846,0.5608,0.5436,0.5312
3ways_2_mirror,N38759,N82844,0.0067,0.0273,0.0719,0.1385,0.213,0.282,0.3388,0.3827,0.4154,0.4392,0.4564,0.4688
Equal_10vs2_mirror,N74542,N84331,0.0,0.0,0.0,0.0,0.0001,0.0014,0.0092,0.034,0.0837,0.153,0.2273,0.2942
Equal_10vs2_mirror,N74542,N25495,1.0,1.0,1.0,1.0,0.9999,0.9986,0.9908,0.966,0.9163,0.847,0.7727,0.7058
6vs1_2_mirror,N96941,N61632,0.0,0.0,0.0,0.0001,0.0014,0.0093,0.0341,0.0839,0.1532,0.2276,0.2944,0.3486
6vs1_2_mirror,N96941,N99612,1.0,1.0,1.0,0.9999,0.9986,0.9907,0.9659,0.9161,0.8468,0.7724,0.7056,0.6514
Equal_10vs2,N92580,N16553,0.0,0.0,0.0,0.0,0.0001,0.0014,0.0092,0.034,0.0837,0.153,0.2273,0.2942
Equal_10vs2,N92580,N51698,1.0,1.0,1.0,1.0,0.9999,0.9986,0.9908,0.966,0.9163,0.847,0.7727,0.7058
