world,node,child,value_0.2_0,value_0.2_0.1,value_0.2_0.2,value_0.2_0.3,value_0.2_0.4,value_0.2_0.5,value_0.2_0.6,value_0.2_0.7,value_0.2_0.8,value_0.2_0.9,value_0.2_1,value_0.28_0,value_0.28_0.1,value_0.28_0.2,value_0.28_0.3,value_0.28_0.4,value_0.28_0.5,value_0.28_0.6,value_0.28_0.7,value_0.28_0.8,value_0.28_0.9,value_0.28_1,value_0.391_0,value_0.391_0.1,value_0.391_0.2,value_0.391_0.3,value_0.391_0.4,value_0.391_0.5,value_0.391_0.6,value_0.391_0.7,value_0.391_0.8,value_0.391_0.9,value_0.391_1,value_0.547_0,value_0.547_0.1,value_0.547_0.2,value_0.547_0.3,value_0.547_0.4,value_0.547_0.5,value_0.547_0.6,value_0.547_0.7,value_0.547_0.8,value_0.547_0.9,value_0.547_1,value_0.765_0,value_0.765_0.1,value_0.765_0.2,value_0.765_0.3,value_0.765_0.4,value_0.765_0.5,value_0.765_0.6,value_0.765_0.7,value_0.765_0.8,value_0.765_0.9,value_0.765_1,value_1.07_0,value_1.07_0.1,value_1.07_0.2,value_1.07_0.3,value_1.07_0.4,value_1.07_0.5,value_1.07_0.6,value_1.07_0.7,value_1.07_0.8,value_1.07_0.9,value_1.07_1,value_1.496_0,value_1.496_0.1,value_1.496_0.2,value_1.496_0.3,value_1.496_0.4,value_1.496_0.5,value_1.496_0.6,value_1.496_0.7,value_1.496_0.8,value_1.496_0.9,value_1.496_1,value_2.092_0,value_2.092_0.1,value_2.092_0.2,value_2.092_0.3,value_2.092_0.4,value_2.092_0.5,value_2.092_0.6,value_2.092_0.7,value_2.092_0.8,value_2.092_0.9,value_2.092_1,value_2.925_0,value_2.925_0.1,value_2.925_0.2,value_2.925_0.3,value_2.925_0.4,value_2.925_0.5,value_2.925_0.6,value_2.925_0.7,value_2.925_0.8,value_2.925_0.9,value_2.925_1,value_4.091_0,value_4.091_0.1,value_4.091_0.2,value_4.091_0.3,value_4.091_0.4,value_4.091_0.5,value_4.091_0.6,value_4.091_0.7,value_4.091_0.8,value_4.091_0.9,value_4.091_1,value_5.721_0,value_5.721_0.1,value_5.721_0.2,value_5.721_0.3,value_5.721_0.4,value_5.721_0.5,value_5.721_0.6,value_5.721_0.7,value_5.721_0.8,value_5.721_0.9,value_5.721_1,value_8_0,value_8_0.1,value_8_0.2,value_8_0.3,value_8_0.4,value_8_0.5,value_8_0.6,value_8_0.7,value_8_0.8,value_8_0.9,value_8_1
Equal_2vs5_mirror,N86472,N73070,0.0,0.0,0.0001,0.0025,0.0474,0.5,0.9526,0.9975,0.9999,1.0,1.0,0.0,0.0002,0.0016,0.0136,0.105,0.5,0.895,0.9864,0.9984,0.9998,1.0,0.0005,0.0022,0.0099,0.0444,0.1773,0.5,0.8227,0.9556,0.9901,0.9978,0.9995,0.0041,0.0123,0.0359,0.1003,0.2503,0.5,0.7497,0.8997,0.9641,0.9877,0.9959,0.0194,0.0416,0.0868,0.1724,0.3134,0.5,0.6866,0.8276,0.9132,0.9584,0.9806,0.0571,0.096,0.1568,0.2457,0.3634,0.5,0.6366,0.7543,0.8432,0.904,0.9429,0.1186,0.1674,0.2309,0.3096,0.4011,0.5,0.5989,0.6904,0.7691,0.8326,0.8814,0.1925,0.241,0.2973,0.3604,0.4288,0.5,0.5712,0.6396,0.7027,0.759,0.8075,0.2639,0.3057,0.3508,0.3989,0.4489,0.5,0.5511,0.6011,0.6492,0.6943,0.7361,0.3245,0.3574,0.3917,0.4272,0.4634,0.5,0.5366,0.5728,0.6083,0.6426,0.6755,0.3718,0.3966,0.422,0.4478,0.4738,0.5,0.5262,0.5522,0.578,0.6034,0.6282,0.4073,0.4256,0.444,0.4626,0.4813,0.5,0.5187,0.5374,0.556,0.5744,0.5927
Equal_2vs5_mirror,N86472,N12601,1.0,1.0,0.9999,0.9975,0.9526,0.5,0.0474,0.0025,0.0001,0.0,0.0,1.0,0.9998,0.9984,0.9864,0.895,0.5,0.105,0.0136,0.0016,0.0002,0.0,0.9995,0.9978,0.9901,0.9556,0.8227,0.5,0.1773,0.0444,0.0099,0.0022,0.0005,0.9959,0.9877,0.9641,0.8997,0.7497,0.5,0.2503,0.1003,0.0359,0.0123,0.0041,0.9806,0.9584,0.9132,0.8276,0.6866,0.5,0.3134,0.1724,0.0868,0.0416,0.0194,0.9429,0.904,0.8432,0.7543,0.6366,0.5,0.3634,0.2457,0.1568,0.096,0.0571,0.8814,0.8326,0.7691,0.6904,0.5989,0.5,0.4011,0.3096,0.2309,0.1674,0.1186,0.8075,0.759,0.7027,0.6396,0.5712,0.5,0.4288,0.3604,0.2973,0.241,0.1925,0.7361,0.6943,0.6492,0.6011,0.5511,0.5,0.4489,0.3989,0.3508,0.3057,0.2639,0.6755,0.6426,0.6083,0.5728,0.5366,0.5,0.4634,0.4272,0.3917,0.3574,0.3245,0.6282,0.6034,0.578,0.5522,0.5262,0.5,0.4738,0.4478,0.422,0.3966,0.3718,0.5927,0.5744,0.556,0.5374,0.5187,0.5,0.4813,0.4626,0.444,0.4256,0.4073
3ways_2_mirror,N20537,N61048,0.0,0.0,0.0009,0.0474,0.7306,0.9933,0.9999,1.0,1.0,1.0,1.0,0.0,0.0004,0.0067,0.1044,0.6683,0.9719,0.9983,0.9999,1.0,1.0,1.0,0.0005,0.0036,0.0267,0.1734,0.6145,0.9229,0.9888,0.9984,0.9998,1.0,1.0,0.004,0.017,0.0684,0.2366,0.5646,0.8428,0.9562,0.9886,0.997,0.9992,0.9998,0.0181,0.049,0.1249,0.2823,0.518,0.7442,0.8861,0.9536,0.9816,0.9927,0.9971,0.0499,0.0974,0.1808,0.31,0.4762,0.6464,0.7849,0.8785,0.9343,0.9651,0.9817,0.0963,0.1502,0.226,0.3248,0.4411,0.5633,0.6775,0.773,0.8461,0.8983,0.934,0.1469,0.1971,0.259,0.3317,0.4131,0.4989,0.5843,0.6644,0.7356,0.7959,0.8451,0.1924,0.2343,0.2819,0.3346,0.3916,0.4514,0.5124,0.5727,0.6307,0.6849,0.7342,0.2294,0.2621,0.2976,0.3355,0.3756,0.4173,0.46,0.5033,0.5463,0.5885,0.6293,0.2577,0.2824,0.3084,0.3356,0.3638,0.393,0.4229,0.4532,0.4839,0.5146,0.5451,0.2787,0.2969,0.3158,0.3353,0.3553,0.3758,0.3967,0.4179,0.4394,0.4611,0.483
3ways_2_mirror,N20537,N53349,0.0,0.0001,0.0003,0.0009,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0016,0.0033,0.006,0.0045,0.0008,0.0001,0.0,0.0,0.0,0.0,0.006,0.0099,0.016,0.0224,0.0171,0.0055,0.0013,0.0003,0.0001,0.0,0.0,0.0251,0.0353,0.0474,0.0548,0.0437,0.0218,0.0082,0.0028,0.001,0.0003,0.0001,0.067,0.0826,0.0962,0.0992,0.0831,0.0545,0.0296,0.0145,0.0068,0.0032,0.0014,0.127,0.1415,0.15,0.1468,0.1287,0.0997,0.0691,0.0441,0.0268,0.0158,0.0092,0.188,0.1962,0.1977,0.1902,0.173,0.148,0.1191,0.091,0.0667,0.0474,0.033,0.2369,0.2387,0.2354,0.2263,0.2115,0.1918,0.1686,0.1439,0.1196,0.0972,0.0774,0.2709,0.2686,0.2632,0.2546,0.2427,0.2278,0.2107,0.1918,0.172,0.1522,0.1329,0.2929,0.2891,0.2834,0.2759,0.2667,0.2559,0.2437,0.2302,0.2158,0.2007,0.1854,0.3069,0.3028,0.2978,0.2918,0.2848,0.277,0.2684,0.2591,0.249,0.2385,0.2275,0.3158,0.3122,0.308,0.3034,0.2982,0.2926,0.2866,0.2801,0.2733,0.2661,0.2585
3ways_2_mirror,N20537,N38759,1.0,0.9999,0.9988,0.9517,0.2688,0.0067,0.0001,0.0,0.0,0.0,0.0,0.9992,0.998,0.9901,0.8896,0.3272,0.0273,0.0016,0.0001,0.0,0.0,0.0,0.9936,0.9866,0.9573,0.8042,0.3684,0.0715,0.0099,0.0013,0.0002,0.0,0.0,0.9709,0.9477,0.8842,0.7086,0.3917,0.1354,0.0356,0.0085,0.002,0.0005,0.0001,0.9149,0.8685,0.7789,0.6185,0.3989,0.2014,0.0843,0.0319,0.0115,0.0041,0.0014,0.8232,0.7611,0.6692,0.5432,0.3951,0.2539,0.146,0.0773,0.0389,0.019,0.0092,0.7157,0.6536,0.5762,0.485,0.3859,0.2887,0.2034,0.136,0.0872,0.0542,0.033,0.6162,0.5642,0.5057,0.4419,0.3754,0.3093,0.2471,0.1917,0.1448,0.1069,0.0774,0.5367,0.4971,0.4549,0.4108,0.3657,0.3207,0.2769,0.2355,0.1972,0.1629,0.1329,0.4776,0.4488,0.419,0.3885,0.3577,0.3268,0.2963,0.2666,0.2379,0.2108,0.1854,0.4354,0.4148,0.3939,0.3727,0.3513,0.33,0.3087,0.2877,0.2671,0.247,0.2275,0.4055,0.3909,0.3762,0.3614,0.3465,0.3316,0.3167,0.302,0.2873,0.2728,0.2585
3ways_2_mirror,N61048,N31028,0.0,0.0001,0.0003,0.0009,0.0025,0.0067,0.018,0.0474,0.1192,0.2689,0.5,0.0008,0.0016,0.0033,0.0067,0.0136,0.0273,0.0543,0.105,0.1933,0.3287,0.5,0.006,0.0099,0.0164,0.0271,0.0444,0.0719,0.1145,0.1773,0.2644,0.3748,0.5,0.0252,0.0359,0.0509,0.0718,0.1003,0.1385,0.1881,0.2503,0.3249,0.4096,0.5,0.0682,0.0868,0.1099,0.1382,0.1724,0.213,0.26,0.3134,0.3722,0.435,0.5,0.1336,0.1568,0.1831,0.2128,0.2457,0.282,0.3213,0.3634,0.4076,0.4534,0.5,0.208,0.2309,0.2555,0.2817,0.3096,0.3388,0.3694,0.4011,0.4336,0.4666,0.5,0.2777,0.2973,0.3176,0.3387,0.3604,0.3827,0.4055,0.4288,0.4523,0.4761,0.5,0.3354,0.3508,0.3666,0.3826,0.3989,0.4154,0.432,0.4489,0.4659,0.4829,0.5,0.3802,0.3917,0.4035,0.4153,0.4272,0.4392,0.4513,0.4634,0.4756,0.4878,0.5,0.4135,0.422,0.4305,0.4391,0.4478,0.4564,0.4651,0.4738,0.4825,0.4913,0.5,0.4378,0.444,0.4502,0.4564,0.4626,0.4688,0.475,0.4813,0.4875,0.4938,0.5
3ways_2_mirror,N61048,N14684,1.0,0.9999,0.9997,0.9991,0.9975,0.9933,0.982,0.9526,0.8808,0.7311,0.5,0.9992,0.9984,0.9967,0.9933,0.9864,0.9727,0.9457,0.895,0.8067,0.6713,0.5,0.994,0.9901,0.9836,0.9729,0.9556,0.9281,0.8855,0.8227,0.7356,0.6252,0.5,0.9748,0.9641,0.9491,0.9282,0.8997,0.8615,0.8119,0.7497,0.6751,0.5904,0.5,0.9318,0.9132,0.8901,0.8618,0.8276,0.787,0.74,0.6866,0.6278,0.565,0.5,0.8664,0.8432,0.8169,0.7872,0.7543,0.718,0.6787,0.6366,0.5924,0.5466,0.5,0.792,0.7691,0.7445,0.7183,0.6904,0.6612,0.6306,0.5989,0.5664,0.5334,0.5,0.7223,0.7027,0.6824,0.6613,0.6396,0.6173,0.5945,0.5712,0.5477,0.5239,0.5,0.6646,0.6492,0.6334,0.6174,0.6011,0.5846,0.568,0.5511,0.5341,0.5171,0.5,0.6198,0.6083,0.5965,0.5847,0.5728,0.5608,0.5487,0.5366,0.5244,0.5122,0.5,0.5865,0.578,0.5695,0.5609,0.5522,0.5436,0.5349,0.5262,0.5175,0.5087,0.5,0.5622,0.556,0.5498,0.5436,0.5374,0.5312,0.525,0.5187,0.5125,0.5062,0.5
3ways_2_mirror,N53349,N22906,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9995,0.9997,0.9998,0.9999,0.9999,1.0,1.0,1.0,1.0,1.0,1.0,0.9959,0.9971,0.998,0.9986,0.999,0.9993,0.9995,0.9997,0.9998,0.9998,0.9999,0.9806,0.985,0.9884,0.991,0.9931,0.9947,0.9959,0.9968,0.9976,0.9981,0.9986,0.9429,0.9522,0.96,0.9666,0.9721,0.9768,0.9806,0.9839,0.9866,0.9889,0.9907,0.8814,0.8946,0.9066,0.9173,0.9269,0.9355,0.9431,0.9498,0.9558,0.9612,0.9659,0.8075,0.822,0.8355,0.8482,0.8601,0.8712,0.8816,0.8912,0.9001,0.9084,0.9161,0.7361,0.7491,0.7618,0.774,0.7857,0.797,0.8078,0.8182,0.8282,0.8377,0.8468,0.6755,0.6862,0.6966,0.7068,0.7168,0.7267,0.7363,0.7456,0.7548,0.7637,0.7724,0.6282,0.6363,0.6444,0.6523,0.6602,0.668,0.6757,0.6833,0.6908,0.6983,0.7056,0.5927,0.5987,0.6047,0.6106,0.6166,0.6225,0.6283,0.6341,0.6399,0.6457,0.6514
3ways_2_mirror,N53349,N23735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0003,0.0002,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0041,0.0029,0.002,0.0014,0.001,0.0007,0.0005,0.0003,0.0002,0.0002,0.0001,0.0194,0.015,0.0116,0.009,0.0069,0.0053,0.0041,0.0032,0.0024,0.0019,0.0014,0.0571,0.0478,0.04,0.0334,0.0279,0.0232,0.0194,0.0161,0.0134,0.0111,0.0093,0.1186,0.1054,0.0934,0.0827,0.0731,0.0645,0.0569,0.0502,0.0442,0.0388,0.0341,0.1925,0.178,0.1645,0.1518,0.1399,0.1288,0.1184,0.1088,0.0999,0.0916,0.0839,0.2639,0.2509,0.2382,0.226,0.2143,0.203,0.1922,0.1818,0.1718,0.1623,0.1532,0.3245,0.3138,0.3034,0.2932,0.2832,0.2733,0.2637,0.2544,0.2452,0.2363,0.2276,0.3718,0.3637,0.3556,0.3477,0.3398,0.332,0.3243,0.3167,0.3092,0.3017,0.2944,0.4073,0.4013,0.3953,0.3894,0.3834,0.3775,0.3717,0.3659,0.3601,0.3543,0.3486
3ways_2_mirror,N38759,N26939,0.9933,0.9991,0.9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9727,0.9933,0.9984,0.9996,0.9999,1.0,1.0,1.0,1.0,1.0,1.0,0.9281,0.9729,0.9901,0.9964,0.9987,0.9995,0.9998,0.9999,1.0,1.0,1.0,0.8615,0.9282,0.9641,0.9824,0.9914,0.9959,0.998,0.999,0.9995,0.9998,0.9999,0.787,0.8618,0.9132,0.9466,0.9677,0.9806,0.9884,0.9931,0.9959,0.9976,0.9986,0.718,0.7872,0.8432,0.8866,0.9191,0.9429,0.96,0.9721,0.9806,0.9866,0.9907,0.6612,0.7183,0.7691,0.8131,0.8504,0.8814,0.9066,0.9269,0.9431,0.9558,0.9659,0.6173,0.6613,0.7027,0.7411,0.7761,0.8075,0.8355,0.8601,0.8816,0.9001,0.9161,0.5846,0.6174,0.6492,0.6796,0.7087,0.7361,0.7618,0.7857,0.8078,0.8282,0.8468,0.5608,0.5847,0.6083,0.6313,0.6537,0.6755,0.6966,0.7168,0.7363,0.7548,0.7724,0.5436,0.5609,0.578,0.595,0.6117,0.6282,0.6444,0.6602,0.6757,0.6908,0.7056,0.5312,0.5436,0.556,0.5683,0.5805,0.5927,0.6047,0.6166,0.6283,0.6399,0.6514
