subject,world,path,squaretype,nodeName,availableChildName,nodeValue,chosen,ncells,nsteps,nstepsfromroot
S8400090,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,TRUE,2,2,2
S8400090,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,FALSE,5,5,5
S8400090,Equal_2vs5_mirror,"p(2, 4);p(3, 4);p(4, 4)",D,N73070,N87470,,TRUE,5,7,9
S64663250,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,TRUE,2,2,2
S64663250,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,FALSE,5,5,5
S64663250,Equal_2vs5_mirror,"p(2, 4);p(3, 4);p(4, 4)",D,N73070,N87470,,TRUE,5,7,9
S47804928,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,TRUE,2,2,2
S47804928,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,FALSE,5,5,5
S47804928,Equal_2vs5_mirror,"p(2, 4);p(3, 4);p(4, 4)",D,N73070,N87470,,TRUE,5,7,9
S17865914,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,FALSE,2,2,2
S17865914,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,TRUE,5,5,5
S73803980,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,TRUE,2,2,2
S73803980,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,FALSE,5,5,5
S73803980,Equal_2vs5_mirror,"p(2, 4);p(3, 4);p(4, 4)",D,N73070,N87470,,TRUE,5,7,9
S99057858,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,TRUE,2,2,2
S99057858,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,FALSE,5,5,5
S99057858,Equal_2vs5_mirror,"p(2, 4);p(3, 4);p(4, 4)",D,N73070,N87470,,TRUE,5,7,9
S5630936,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,TRUE,2,2,2
S5630936,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,FALSE,5,5,5
S5630936,Equal_2vs5_mirror,"p(2, 4);p(3, 4);p(4, 4)",D,N73070,N87470,,TRUE,5,7,9
S59543242,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,TRUE,2,2,2
S59543242,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,FALSE,5,5,5
S59543242,Equal_2vs5_mirror,"p(2, 4);p(3, 4);p(4, 4)",D,N73070,N87470,,TRUE,5,7,9
S2231716,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,TRUE,2,2,2
S2231716,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,FALSE,5,5,5
S2231716,Equal_2vs5_mirror,"p(2, 4);p(3, 4);p(4, 4)",D,N73070,N87470,,TRUE,5,7,9
S6822061,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,FALSE,2,2,2
S6822061,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,TRUE,5,5,5
S96025731,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N73070,,TRUE,2,2,2
S96025731,Equal_2vs5_mirror,"p(4, 2)",X,N86472,N12601,,FALSE,5,5,5
