subject,step,direct,rt
S8400090,2,1,696
S8400090,3,1,570
S8400090,4,1,541
S8400090,5,1,550
S8400090,7,1,745
S8400090,8,1,682
S8400090,9,1,729
S8400090,10,1,605
S8400090,11,1,676
S8400090,2,1,541
S8400090,3,1,599
S8400090,5,1,489
S8400090,6,1,559
S8400090,7,1,606
S8400090,8,1,634
S8400090,9,1,550
S8400090,10,1,504
S8400090,11,1,707
S8400090,2,1,590
S8400090,3,1,1001
S8400090,4,1,510
S8400090,6,1,546
S8400090,7,1,535
S8400090,8,1,549
S8400090,9,1,560
S8400090,10,1,659
S8400090,11,1,587
S8400090,12,1,590
S8400090,13,1,559
S8400090,14,1,598
S8400090,15,1,821
S8400090,16,1,511
S8400090,17,1,484
S8400090,18,1,642
S8400090,2,1,595
S8400090,4,1,566
S8400090,5,1,557
S8400090,6,1,503
S8400090,7,1,567
S8400090,8,1,583
S8400090,11,1,557
S8400090,12,1,481
S8400090,13,1,537
S8400090,14,1,719
S8400090,15,1,745
S8400090,16,1,754
S8400090,17,1,480
S8400090,2,1,535
S8400090,4,1,629
S8400090,5,1,596
S8400090,6,1,712
S8400090,7,1,823
S8400090,8,1,628
S8400090,9,1,745
S8400090,2,1,485
S8400090,3,1,467
S8400090,4,1,504
S8400090,5,1,488
S8400090,6,1,536
S8400090,7,1,656
S8400090,8,1,505
S8400090,9,1,599
S8400090,2,1,558
S8400090,3,1,537
S8400090,4,1,520
S8400090,2,1,583
S8400090,3,1,542
S8400090,4,1,506
S8400090,5,1,501
S8400090,6,1,549
S8400090,7,1,692
S8400090,8,1,745
S8400090,9,1,743
S8400090,10,1,551
S8400090,11,1,721
S8400090,2,1,557
S8400090,3,1,464
S8400090,4,1,573
S8400090,5,1,561
S8400090,2,1,621
S8400090,3,1,581
S8400090,4,1,543
S8400090,5,1,574
S8400090,6,1,505
S8400090,7,1,528
S8400090,2,1,480
S8400090,3,1,488
S8400090,4,1,541
S8400090,5,1,520
S8400090,6,1,676
S8400090,7,1,559
S8400090,9,1,978
S8400090,10,1,517
S8400090,11,1,514
S8400090,2,1,473
S8400090,3,1,496
S8400090,4,1,480
S8400090,2,1,528
S8400090,3,1,619
S8400090,5,1,627
S8400090,6,1,568
S8400090,7,1,503
S8400090,8,1,676
S8400090,2,1,530
S8400090,3,1,532
S8400090,4,1,490
S8400090,5,1,581
S8400090,7,1,536
S8400090,8,1,611
S8400090,9,1,674
S8400090,10,1,536
S8400090,2,1,571
S8400090,3,1,768
S8400090,4,1,527
S8400090,5,1,505
S8400090,6,1,550
S8400090,7,1,474
S8400090,8,1,480
S8400090,9,1,487
S8400090,10,1,512
S8400090,2,1,490
S8400090,3,1,775
S8400090,4,1,458
S8400090,5,1,540
S8400090,2,1,458
S8400090,3,1,480
S8400090,4,1,481
S8400090,5,1,504
S8400090,2,1,463
S8400090,3,1,706
S8400090,4,1,460
S8400090,5,1,544
S8400090,6,1,481
S8400090,7,1,494
S8400090,2,1,652
S8400090,3,1,567
S8400090,4,1,504
S8400090,5,1,499
S8400090,6,1,439
S8400090,8,1,557
S8400090,9,1,419
S8400090,10,1,473
S8400090,11,1,793
S8400090,2,1,543
S8400090,3,1,488
S8400090,4,1,489
S8400090,5,1,533
S8400090,7,1,505
S8400090,8,1,581
S8400090,9,1,839
S8400090,10,1,496
S8400090,11,1,792
S8400090,12,1,650
S8400090,13,1,840
S8400090,14,1,495
S8400090,15,1,506
S8400090,2,1,487
S8400090,3,1,549
S8400090,4,1,932
S8400090,5,1,514
S8400090,2,1,549
S8400090,4,1,598
S8400090,5,1,520
S8400090,6,1,465
S8400090,7,1,503
S8400090,8,1,487
S8400090,9,1,595
S8400090,10,1,461
S8400090,11,1,512
S8400090,2,1,494
S8400090,2,1,584
S8400090,3,1,513
S8400090,4,1,463
S8400090,6,1,474
S8400090,7,1,472
S8400090,8,1,458
S8400090,9,1,472
S8400090,10,1,411
S8400090,11,1,484
S8400090,12,1,479
S8400090,13,1,510
S8400090,14,1,496
S8400090,15,1,491
S8400090,16,1,489
S8400090,17,1,512
S8400090,2,1,513
S8400090,3,1,456
S8400090,4,1,652
S8400090,5,1,481
S8400090,6,1,487
S8400090,7,1,708
S8400090,8,1,532
S8400090,9,1,475
S8400090,2,1,838
S8400090,3,1,594
S8400090,4,1,558
S8400090,5,1,1042
S8400090,6,1,450
S8400090,7,1,425
S8400090,8,1,395
S8400090,2,1,511
S8400090,2,1,504
S8400090,2,1,520
S8400090,4,1,463
S8400090,5,1,557
S8400090,6,1,442
S8400090,7,1,831
S8400090,2,1,529
S8400090,2,1,519
S8400090,3,1,1250
S8400090,4,1,518
S8400090,5,1,520
S8400090,7,1,410
S8400090,8,1,471
S8400090,9,1,536
S8400090,10,1,489
S8400090,11,1,503
S8400090,12,1,476
S8400090,13,1,524
S8400090,2,1,628
S8400090,4,1,506
S8400090,5,1,449
S8400090,6,1,422
S8400090,7,1,431
S8400090,8,1,403
S8400090,9,1,465
