"subject","world","step","rt","Cell","decisionNumber","treeDepth"
"S47804928","3ways_1",1,56741,"Start",1,2
"S47804928","3ways_1",3,4624,"Decision",2,1
"S47804928","6vs1_2",1,8712,"Start",1,1
"S47804928","Equal_6vs3_mirror",1,4211,"Start",1,1
"S47804928","Equal_7vs9_mirror",1,7012,"Start",1,1
"S47804928","6vs2_mirror",1,2141,"Start",1,1
"S47804928","6vs1_2_mirror",1,15365,"Start",1,1
"S47804928","Equal_10vs2_mirror",1,4277,"Start",1,1
"S47804928","6vs1_1_mirror",1,2149,"Start",1,1
"S47804928","3ways_3_mirror",1,8143,"Start",1,3
"S47804928","Loop_1_mirror",1,2864,"Start",1,1
"S47804928","4vs1_mirror",1,2198,"Start",1,1
"S47804928","3ways_1_mirror",1,2149,"Start",1,2
"S47804928","Loop_2_mirror",1,2095,"Start",1,1
"S47804928","Equal_6vs6",1,4421,"Start",1,1
"S47804928","Equal_2vs5_mirror",1,1931,"Start",1,1
"S47804928","Equal_7vs2",1,1725,"Start",1,1
"S47804928","Equal_8vs8",1,2103,"Start",1,1
"S47804928","3ways_2_mirror",1,1659,"Start",1,2
"S47804928","3ways_2_mirror",8,1432,"Decision",2,1
"S47804928","Equal_6vs6_mirror",1,3093,"Start",1,1
"S47804928","4ways",1,5504,"Start",1,4
"S47804928","4ways",5,750,"Decision",2,3
"S47804928","4ways",12,1934,"Decision",3,2
"S47804928","Equal_7vs9",1,3287,"Start",1,1
"S47804928","4vs1",1,19730,"Start",1,2
"S47804928","4vs1",4,1168,"Decision",2,1
"S47804928","Loop_2",1,1972,"Start",1,1
"S47804928","Equal_4vs2",1,1366,"Start",1,1
"S47804928","Equal_6vs3",1,2186,"Start",1,1
"S47804928","6vs1_1",1,2903,"Start",1,1
"S47804928","6vs2",1,2165,"Start",1,1
"S47804928","Equal_4vs2_mirror",1,1667,"Start",1,1
"S47804928","Loop_1",1,1938,"Start",1,1
"S47804928","3ways_4_mirror",1,1491,"Start",1,2
"S47804928","3ways_4_mirror",3,495,"Decision",2,1
"S47804928","4ways_mirror",1,4222,"Start",1,4
"S47804928","4ways_mirror",5,527,"Decision",2,3
"S47804928","4ways_mirror",12,690,"Decision",3,2
"S47804928","3ways_2",1,3429,"Start",1,2
"S47804928","3ways_2",8,1157,"Decision",2,1
"S47804928","3ways_4",1,1954,"Start",1,2
"S47804928","3ways_4",3,606,"Decision",2,1
"S47804928","Equal_2vs5",1,3326,"Start",1,1
"S47804928","Equal_8vs3_mirror",1,953,"Start",1,1
"S47804928","3ways_3",1,1425,"Start",1,2
"S47804928","Equal_8vs3",1,2275,"Start",1,1
"S47804928","Equal_8vs8_mirror",1,1741,"Start",1,1
"S17865914","4ways_mirror",1,3417,"Start",1,4
"S17865914","4ways_mirror",3,602,"Decision",2,3
"S17865914","3ways_3",1,5344,"Start",1,2
"S17865914","6vs1_2",1,1951,"Start",1,1
"S17865914","Equal_10vs2",1,4938,"Start",1,1
"S17865914","3ways_4",1,2299,"Start",1,2
"S17865914","3ways_4",3,543,"Decision",2,1
"S17865914","3ways_1_mirror",1,2027,"Start",1,2
"S17865914","3ways_1_mirror",7,720,"Decision",2,1
"S17865914","6vs1_1_mirror",1,1681,"Start",1,1
"S17865914","Equal_7vs2_mirror",1,1675,"Start",1,1
"S17865914","6vs2_mirror",1,1478,"Start",1,1
"S17865914","Equal_6vs3",1,3227,"Start",1,1
"S17865914","Loop_2",1,2422,"Start",1,1
"S17865914","Equal_4vs2_mirror",1,3917,"Start",1,1
"S17865914","Equal_8vs8",1,6923,"Start",1,1
"S17865914","3ways_2_mirror",1,1801,"Start",1,2
"S17865914","3ways_2_mirror",8,828,"Decision",2,1
"S17865914","6vs1_2_mirror",1,1528,"Start",1,1
"S17865914","Equal_10vs2_mirror",1,1767,"Start",1,1
"S17865914","Equal_6vs6",1,1967,"Start",1,1
"S17865914","3ways_2",1,5657,"Start",1,2
"S17865914","Equal_7vs2",1,1712,"Start",1,1
"S17865914","Equal_4vs2",1,1781,"Start",1,1
"S17865914","Equal_7vs9",1,13213,"Start",1,1
"S17865914","Loop_1_mirror",1,1535,"Start",1,1
"S17865914","4ways",1,1972,"Start",1,4
"S17865914","4ways",8,673,"Decision",2,3
"S17865914","3ways_3_mirror",1,1333,"Start",1,3
"S17865914","Equal_2vs5_mirror",1,1361,"Start",1,1
"S17865914","3ways_4_mirror",1,1661,"Start",1,2
"S17865914","3ways_4_mirror",6,838,"Decision",2,1
"S17865914","4vs1",1,1104,"Start",1,2
"S17865914","4vs1",4,1038,"Decision",2,1
"S17865914","4vs1_mirror",1,1625,"Start",1,1
"S17865914","Equal_8vs3",1,3426,"Start",1,1
"S17865914","Equal_8vs3_mirror",1,2061,"Start",1,1
"S17865914","Equal_2vs5",1,1423,"Start",1,1
"S17865914","Equal_7vs9_mirror",1,2636,"Start",1,1
"S17865914","Equal_6vs6_mirror",1,2048,"Start",1,1
"S17865914","Equal_8vs8_mirror",1,2619,"Start",1,1
"S17865914","6vs2",1,1365,"Start",1,1
"S17865914","Loop_1",1,1671,"Start",1,1
"S17865914","3ways_1",1,1819,"Start",1,2
"S17865914","Loop_2_mirror",1,1283,"Start",1,1
"S17865914","6vs1_1",1,1742,"Start",1,1
"S17865914","Equal_6vs3_mirror",1,1401,"Start",1,1
"S99057858","6vs1_1",1,2723,"Start",1,1
"S99057858","Loop_1",1,2481,"Start",1,1
"S99057858","6vs1_2",1,5155,"Start",1,1
"S99057858","Equal_7vs9_mirror",1,3438,"Start",1,1
"S99057858","3ways_2_mirror",1,2266,"Start",1,2
"S99057858","3ways_2_mirror",3,1247,"Decision",2,1
"S99057858","3ways_3",1,2244,"Start",1,2
"S99057858","Equal_6vs6",1,1257,"Start",1,1
"S99057858","Equal_2vs5",1,1147,"Start",1,1
"S99057858","4vs1",1,1058,"Start",1,2
"S99057858","Equal_4vs2_mirror",1,999,"Start",1,1
"S99057858","Equal_8vs8",1,1715,"Start",1,1
"S99057858","Equal_8vs3",1,1230,"Start",1,1
"S99057858","Equal_6vs3",1,2211,"Start",1,1
"S99057858","3ways_4_mirror",1,1329,"Start",1,2
"S99057858","3ways_4_mirror",3,1167,"Decision",2,1
"S99057858","Equal_2vs5_mirror",1,1221,"Start",1,1
"S99057858","Equal_10vs2",1,1206,"Start",1,1
"S99057858","Loop_2",1,2029,"Start",1,1
"S99057858","4vs1_mirror",1,1297,"Start",1,1
"S99057858","3ways_1_mirror",1,1008,"Start",1,2
"S99057858","3ways_1_mirror",3,1188,"Decision",2,1
"S99057858","Equal_7vs2_mirror",1,1129,"Start",1,1
"S99057858","4ways_mirror",1,1373,"Start",1,4
"S99057858","4ways_mirror",3,577,"Decision",2,3
"S99057858","4ways_mirror",9,1003,"Decision",3,2
"S99057858","4ways_mirror",10,596,"Decision",4,1
"S99057858","Equal_10vs2_mirror",1,1060,"Start",1,1
"S99057858","3ways_4",1,1134,"Start",1,2
"S99057858","3ways_4",3,1513,"Decision",2,1
"S99057858","6vs1_1_mirror",1,1020,"Start",1,1
"S99057858","6vs1_2_mirror",1,1819,"Start",1,1
"S99057858","3ways_3_mirror",1,1134,"Start",1,3
"S99057858","3ways_3_mirror",3,782,"Decision",2,2
"S99057858","3ways_3_mirror",5,698,"Decision",3,1
"S99057858","Equal_4vs2",1,925,"Start",1,1
"S99057858","Loop_2_mirror",1,1496,"Start",1,1
"S99057858","4ways",1,1297,"Start",1,4
"S99057858","4ways",3,597,"Decision",2,3
"S99057858","4ways",9,672,"Decision",3,2
"S99057858","4ways",10,585,"Decision",4,1
"S99057858","Equal_8vs8_mirror",1,1402,"Start",1,1
"S99057858","Equal_7vs9",1,1333,"Start",1,1
"S99057858","6vs2",1,1422,"Start",1,1
"S99057858","3ways_1",1,1129,"Start",1,2
"S99057858","3ways_1",3,1168,"Decision",2,1
"S99057858","Equal_8vs3_mirror",1,996,"Start",1,1
"S99057858","6vs2_mirror",1,987,"Start",1,1
"S99057858","Loop_1_mirror",1,1854,"Start",1,1
"S99057858","3ways_2",1,1026,"Start",1,2
"S99057858","3ways_2",3,467,"Decision",2,1
"S99057858","Equal_7vs2",1,1002,"Start",1,1
"S99057858","Equal_6vs3_mirror",1,1215,"Start",1,1
"S99057858","Equal_6vs6_mirror",1,2981,"Start",1,1
"S2231716","4ways_mirror",1,3418,"Start",1,4
"S2231716","4ways_mirror",3,1488,"Decision",2,3
"S2231716","4ways_mirror",9,1456,"Decision",3,2
"S2231716","4ways_mirror",10,608,"Decision",4,1
"S2231716","6vs2",1,1940,"Start",1,1
"S2231716","3ways_4",1,2109,"Start",1,2
"S2231716","3ways_4",3,1096,"Decision",2,1
"S2231716","Loop_2",1,2741,"Start",1,1
"S2231716","6vs1_1",1,1639,"Start",1,1
"S2231716","3ways_1",1,1303,"Start",1,2
"S2231716","3ways_1",3,1040,"Decision",2,1
"S2231716","3ways_2",1,1423,"Start",1,2
"S2231716","3ways_2",3,2249,"Decision",2,1
"S2231716","Equal_8vs8",1,2231,"Start",1,1
"S2231716","Equal_4vs2_mirror",1,1564,"Start",1,1
"S2231716","Equal_6vs3",1,1416,"Start",1,1
"S2231716","Equal_7vs2_mirror",1,1162,"Start",1,1
"S2231716","Equal_7vs2",1,917,"Start",1,1
"S2231716","Equal_8vs8_mirror",1,1581,"Start",1,1
"S2231716","6vs1_2",1,2143,"Start",1,1
"S2231716","Equal_2vs5_mirror",1,1481,"Start",1,1
"S2231716","3ways_1_mirror",1,1259,"Start",1,2
"S2231716","3ways_1_mirror",3,1087,"Decision",2,1
"S2231716","Equal_4vs2",1,1133,"Start",1,1
"S2231716","3ways_3_mirror",1,1100,"Start",1,3
"S2231716","3ways_3_mirror",3,591,"Decision",2,2
"S2231716","6vs2_mirror",1,963,"Start",1,1
"S2231716","4ways",1,1144,"Start",1,4
"S2231716","4ways",3,1296,"Decision",2,3
"S2231716","4ways",9,847,"Decision",3,2
"S2231716","4ways",10,528,"Decision",4,1
"S2231716","Equal_8vs3",1,8301,"Start",1,1
"S2231716","Equal_2vs5",1,1420,"Start",1,1
