world,node,child,value_1
medium_cubicles,N86472,N73070,0.5
medium_cubicles,N86472,N12601,0.5
medium_cubicles,N73070,N87470,0.3333
medium_cubicles,N73070,N13598,0.3333
medium_cubicles,N73070,N58882,0.3333
medium_cubicles,N12601,N20537,0.5
medium_cubicles,N12601,N61048,0.5
medium_cubicles,N87470,N53349,0.5
medium_cubicles,N87470,N38759,0.5
medium_cubicles,N13598,N31028,0.5
medium_cubicles,N13598,N14684,0.5
medium_cubicles,N58882,N22906,0.3333
medium_cubicles,N58882,N23735,0.3333
medium_cubicles,N58882,N26939,0.3333
medium_cubicles,N20537,N82844,0.3333
medium_cubicles,N20537,N59813,0.3333
medium_cubicles,N20537,N77401,0.3333
medium_cubicles,N61048,N75958,0.3333
medium_cubicles,N61048,N41337,0.3333
medium_cubicles,N61048,N79545,0.3333
medium_cubicles,N82844,N32280,0.25
medium_cubicles,N82844,N96941,0.25
medium_cubicles,N82844,N61632,0.25
medium_cubicles,N82844,N99612,0.25
medium_cubicles,N99628,N51698,0.5
medium_cubicles,N99628,N34267,0.5
medium_cubicles,N10672,N16360,0.5
medium_cubicles,N10672,N61790,0.5
medium_cubicles,N74542,N93546,0.5
medium_cubicles,N74542,N45994,0.5
medium_cubicles,N84331,N73133,0.5
medium_cubicles,N84331,N43809,0.5
medium_cubicles,N25495,N15365,0.5
medium_cubicles,N25495,N72776,0.5
medium_cubicles,N86782,N90706,0.5
medium_cubicles,N86782,N65692,0.5
medium_cubicles,N66079,N52431,0.5
medium_cubicles,N66079,N61240,0.5
medium_cubicles,N32280,N85926,0.3333
medium_cubicles,N32280,N74790,0.3333
medium_cubicles,N32280,N96236,0.3333
medium_cubicles,N96941,N87785,0.25
medium_cubicles,N96941,N31813,0.25
medium_cubicles,N96941,N25436,0.25
medium_cubicles,N96941,N93213,0.25
medium_cubicles,N61632,N46529,0.5
medium_cubicles,N61632,N35816,0.5
medium_cubicles,N99612,N84047,0.5
medium_cubicles,N99612,N38417,0.5
medium_cubicles,N56542,N39711,0.5
medium_cubicles,N56542,N75328,0.5
medium_cubicles,N69284,N96243,0.5
medium_cubicles,N69284,N28397,0.5
medium_cubicles,N62359,N48992,0.5
medium_cubicles,N62359,N26976,0.5
medium_cubicles,N92580,N53690,0.5
medium_cubicles,N92580,N85228,0.5
medium_cubicles,N16553,N32798,0.5
medium_cubicles,N16553,N91530,0.5
medium_cubicles,N34267,N68171,0.5
medium_cubicles,N34267,N27336,0.5
medium_cubicles,N61790,N26319,0.5
medium_cubicles,N61790,N60447,0.5
medium_cubicles,N45994,N29748,0.5
medium_cubicles,N45994,N20811,0.5
medium_cubicles,N43809,N38655,0.5
medium_cubicles,N43809,N67505,0.5
medium_cubicles,N72776,N55441,0.5
medium_cubicles,N72776,N95080,0.5
medium_cubicles,N65692,N99878,0.5
medium_cubicles,N65692,N60238,0.5
medium_cubicles,N61240,N70945,0.5
medium_cubicles,N61240,N19695,0.5
medium_cubicles,N85926,N68334,0.3333
medium_cubicles,N85926,N14860,0.3333
medium_cubicles,N85926,N67846,0.3333
medium_cubicles,N87785,N84945,0.3333
medium_cubicles,N87785,N24918,0.3333
medium_cubicles,N87785,N35692,0.3333
medium_cubicles,N31813,N77546,0.3333
medium_cubicles,N31813,N16090,0.3333
medium_cubicles,N31813,N64741,0.3333
medium_cubicles,N25436,N83433,0.5
medium_cubicles,N25436,N93526,0.5
medium_cubicles,N93213,N57637,0.5
medium_cubicles,N93213,N20174,0.5
medium_cubicles,N35816,N39247,0.5
medium_cubicles,N35816,N66641,0.5
medium_cubicles,N38417,N21112,0.5
medium_cubicles,N38417,N50954,0.5
medium_cubicles,N75328,N46107,0.5
medium_cubicles,N75328,N67687,0.5
medium_cubicles,N28397,N22842,0.5
medium_cubicles,N28397,N48928,0.5
medium_cubicles,N26976,N19126,0.5
medium_cubicles,N26976,N64310,0.5
medium_cubicles,N85228,N18220,0.5
medium_cubicles,N85228,N35001,0.5
medium_cubicles,N91530,N73325,0.5
medium_cubicles,N91530,N57901,0.5
medium_cubicles,N68334,N96706,0.5
medium_cubicles,N68334,N92462,0.5
medium_cubicles,N84945,N21259,0.5
medium_cubicles,N84945,N92391,0.5
medium_cubicles,N77546,N85685,0.5
medium_cubicles,N77546,N98600,0.5
hard_hallway_1,N74301,N10790,0.3333
hard_hallway_1,N74301,N85381,0.3333
hard_hallway_1,N74301,N56064,0.3333
hard_hallway_1,N10790,N85756,0.3333
hard_hallway_1,N10790,N42751,0.3333
hard_hallway_1,N10790,N78389,0.3333
hard_hallway_1,N85381,N61252,0.25
hard_hallway_1,N85381,N23723,0.25
hard_hallway_1,N85381,N76291,0.25
hard_hallway_1,N85381,N29932,0.25
hard_hallway_1,N56064,N29688,0.3333
hard_hallway_1,N56064,N23168,0.3333
hard_hallway_1,N56064,N97931,0.3333
hard_hallway_1,N85756,N71964,0.5
hard_hallway_1,N85756,N39791,0.5
hard_hallway_1,N42751,N71596,0.5
hard_hallway_1,N42751,N15305,0.5
hard_hallway_1,N78389,N57320,0.3333
hard_hallway_1,N78389,N16786,0.3333
hard_hallway_1,N78389,N92511,0.3333
hard_hallway_1,N61252,N22845,0.5
hard_hallway_1,N61252,N86236,0.5
hard_hallway_1,N23723,N14694,0.1667
hard_hallway_1,N23723,N25275,0.1667
hard_hallway_1,N23723,N90121,0.1667
hard_hallway_1,N23723,N19704,0.1667
hard_hallway_1,N23723,N36767,0.1667
hard_hallway_1,N23723,N88802,0.1667
hard_hallway_1,N76291,N28187,0.5
hard_hallway_1,N76291,N71706,0.5
hard_hallway_1,N29932,N89283,0.25
hard_hallway_1,N29932,N66282,0.25
hard_hallway_1,N29932,N10992,0.25
hard_hallway_1,N29932,N87450,0.25
hard_hallway_1,N29688,N37939,0.3333
hard_hallway_1,N29688,N19528,0.3333
hard_hallway_1,N29688,N56165,0.3333
hard_hallway_1,N23168,N12893,0.3333
hard_hallway_1,N23168,N68597,0.3333
hard_hallway_1,N23168,N75113,0.3333
hard_hallway_1,N97931,N97490,0.25
hard_hallway_1,N97931,N76871,0.25
hard_hallway_1,N97931,N76825,0.25
hard_hallway_1,N97931,N70306,0.25
hard_hallway_1,N71964,N35305,0.25
hard_hallway_1,N71964,N10437,0.25
hard_hallway_1,N71964,N63818,0.25
hard_hallway_1,N71964,N65890,0.25
hard_hallway_1,N39791,N66847,0.5
hard_hallway_1,N39791,N69503,0.5
hard_hallway_1,N71596,N70357,0.25
hard_hallway_1,N71596,N74322,0.25
hard_hallway_1,N71596,N68066,0.25
hard_hallway_1,N71596,N55102,0.25
hard_hallway_1,N15305,N43829,0.5
hard_hallway_1,N15305,N40689,0.5
hard_hallway_1,N57320,N67198,0.3333
hard_hallway_1,N57320,N71965,0.3333
hard_hallway_1,N57320,N55786,0.3333
hard_hallway_1,N16786,N68849,0.5
hard_hallway_1,N16786,N87420,0.5
hard_hallway_1,N92511,N28069,0.5
hard_hallway_1,N92511,N68398,0.5
hard_hallway_1,N22845,N22049,0.25
hard_hallway_1,N22845,N79058,0.25
hard_hallway_1,N22845,N28828,0.25
hard_hallway_1,N22845,N48426,0.25
hard_hallway_1,N86236,N16410,0.5
hard_hallway_1,N86236,N53771,0.5
hard_hallway_1,N14694,N90986,0.25
hard_hallway_1,N14694,N68046,0.25
hard_hallway_1,N14694,N93564,0.25
hard_hallway_1,N14694,N21757,0.25
hard_hallway_1,N25275,N22145,0.1667
hard_hallway_1,N25275,N71364,0.1667
hard_hallway_1,N25275,N60588,0.1667
hard_hallway_1,N25275,N23137,0.1667
hard_hallway_1,N25275,N79304,0.1667
hard_hallway_1,N25275,N94824,0.1667
hard_hallway_1,N90121,N37493,0.25
hard_hallway_1,N90121,N46312,0.25
hard_hallway_1,N90121,N31173,0.25
hard_hallway_1,N90121,N75273,0.25
hard_hallway_1,N19704,N37033,0.25
hard_hallway_1,N19704,N88234,0.25
hard_hallway_1,N19704,N41451,0.25
hard_hallway_1,N19704,N27413,0.25
hard_hallway_1,N36767,N45999,0.25
hard_hallway_1,N36767,N32267,0.25
hard_hallway_1,N36767,N87145,0.25
hard_hallway_1,N36767,N55789,0.25
hard_hallway_1,N88802,N38229,0.1667
hard_hallway_1,N88802,N15390,0.1667
hard_hallway_1,N88802,N65464,0.1667
hard_hallway_1,N88802,N21041,0.1667
hard_hallway_1,N88802,N47798,0.1667
hard_hallway_1,N88802,N53960,0.1667
hard_hallway_1,N28187,N42350,0.5
hard_hallway_1,N28187,N46824,0.5
hard_hallway_1,N71706,N47858,0.25
hard_hallway_1,N71706,N31791,0.25
hard_hallway_1,N71706,N19849,0.25
hard_hallway_1,N71706,N36492,0.25
hard_hallway_1,N89283,N91361,0.25
hard_hallway_1,N89283,N78667,0.25
hard_hallway_1,N89283,N30701,0.25
hard_hallway_1,N89283,N79447,0.25
hard_hallway_1,N66282,N18846,0.5
hard_hallway_1,N66282,N60795,0.5
hard_hallway_1,N10992,N29964,0.5
hard_hallway_1,N10992,N74083,0.5
hard_hallway_1,N87450,N52837,0.1667
hard_hallway_1,N87450,N96924,0.1667
hard_hallway_1,N87450,N54084,0.1667
hard_hallway_1,N87450,N49922,0.1667
hard_hallway_1,N87450,N63557,0.1667
hard_hallway_1,N87450,N26073,0.1667
hard_hallway_1,N37939,N93722,0.25
hard_hallway_1,N37939,N87853,0.25
hard_hallway_1,N37939,N87991,0.25
hard_hallway_1,N37939,N29231,0.25
hard_hallway_1,N19528,N70739,0.3333
hard_hallway_1,N19528,N47116,0.3333
hard_hallway_1,N19528,N30208,0.3333
hard_hallway_1,N56165,N36457,0.25
hard_hallway_1,N56165,N93228,0.25
hard_hallway_1,N56165,N22471,0.25
hard_hallway_1,N56165,N31588,0.25
hard_hallway_1,N12893,N80310,0.5
hard_hallway_1,N12893,N40338,0.5
hard_hallway_1,N68597,N49560,0.5
hard_hallway_1,N68597,N24311,0.5
hard_hallway_1,N75113,N57126,0.3333
hard_hallway_1,N75113,N79544,0.3333
hard_hallway_1,N75113,N47247,0.3333
hard_hallway_1,N97490,N56814,0.5
hard_hallway_1,N97490,N65639,0.5
hard_hallway_1,N76871,N65017,0.1667
hard_hallway_1,N76871,N37405,0.1667
hard_hallway_1,N76871,N17573,0.1667
hard_hallway_1,N76871,N51337,0.1667
hard_hallway_1,N76871,N62990,0.1667
hard_hallway_1,N76871,N61864,0.1667
hard_hallway_1,N76825,N89454,0.5
hard_hallway_1,N76825,N48290,0.5
hard_hallway_1,N70306,N40989,0.25
hard_hallway_1,N70306,N44794,0.25
hard_hallway_1,N70306,N81689,0.25
hard_hallway_1,N70306,N32447,0.25
hard_hallway_1,N35305,N29704,0.5
hard_hallway_1,N35305,N58755,0.5
hard_hallway_1,N10437,N89645,0.25
hard_hallway_1,N10437,N47373,0.25
hard_hallway_1,N10437,N73898,0.25
hard_hallway_1,N10437,N23123,0.25
hard_hallway_1,N63818,N63613,0.5
hard_hallway_1,N63818,N53360,0.5
hard_hallway_1,N65890,N46264,0.25
hard_hallway_1,N65890,N58405,0.25
hard_hallway_1,N65890,N32948,0.25
hard_hallway_1,N65890,N52201,0.25
hard_hallway_1,N66847,N17951,0.5
hard_hallway_1,N66847,N99164,0.5
hard_hallway_1,N69503,N89074,0.25
hard_hallway_1,N69503,N55188,0.25
hard_hallway_1,N69503,N95306,0.25
hard_hallway_1,N69503,N50638,0.25
hard_hallway_1,N70357,N79130,0.5
hard_hallway_1,N70357,N21435,0.5
hard_hallway_1,N74322,N81758,0.25
hard_hallway_1,N74322,N32005,0.25
hard_hallway_1,N74322,N28159,0.25
hard_hallway_1,N74322,N32550,0.25
hard_hallway_1,N68066,N57284,0.5
hard_hallway_1,N68066,N51198,0.5
hard_hallway_1,N55102,N53143,0.25
hard_hallway_1,N55102,N34327,0.25
hard_hallway_1,N55102,N13509,0.25
hard_hallway_1,N55102,N79959,0.25
hard_hallway_1,N43829,N64524,0.5
hard_hallway_1,N43829,N59913,0.5
hard_hallway_1,N40689,N73643,0.25
hard_hallway_1,N40689,N15917,0.25
hard_hallway_1,N40689,N67723,0.25
hard_hallway_1,N40689,N24636,0.25
hard_hallway_1,N67198,N46554,0.25
hard_hallway_1,N67198,N11274,0.25
hard_hallway_1,N67198,N25430,0.25
hard_hallway_1,N67198,N77386,0.25
hard_hallway_1,N71965,N13504,0.5
hard_hallway_1,N71965,N93188,0.5
hard_hallway_1,N55786,N37544,0.5
hard_hallway_1,N55786,N95210,0.5
hard_hallway_1,N68849,N19952,0.25
hard_hallway_1,N68849,N90150,0.25
hard_hallway_1,N68849,N47030,0.25
hard_hallway_1,N68849,N44259,0.25
hard_hallway_1,N87420,N58478,0.5
hard_hallway_1,N87420,N61508,0.5
hard_hallway_1,N28069,N32123,0.25
hard_hallway_1,N28069,N32425,0.25
hard_hallway_1,N28069,N99879,0.25
hard_hallway_1,N28069,N64329,0.25
hard_hallway_1,N68398,N43442,0.5
hard_hallway_1,N68398,N97987,0.5
hard_hallway_1,N22049,N65522,0.5
hard_hallway_1,N22049,N52164,0.5
hard_hallway_1,N79058,N59561,0.25
hard_hallway_1,N79058,N68746,0.25
hard_hallway_1,N79058,N90280,0.25
hard_hallway_1,N79058,N10200,0.25
hard_hallway_1,N28828,N25772,0.5
hard_hallway_1,N28828,N18644,0.5
hard_hallway_1,N48426,N30619,0.25
hard_hallway_1,N48426,N54805,0.25
hard_hallway_1,N48426,N20350,0.25
hard_hallway_1,N48426,N98376,0.25
hard_hallway_1,N16410,N99951,0.5
hard_hallway_1,N16410,N21612,0.5
hard_hallway_1,N53771,N27152,0.25
hard_hallway_1,N53771,N22015,0.25
hard_hallway_1,N53771,N80408,0.25
hard_hallway_1,N53771,N18034,0.25
hard_hallway_1,N90986,N24837,0.25
