subject	world	trialNo	steps	path	times
S56695602	easy_large_loop_2	1	13	p(0,0)p(1,0);p(2,0);p(3,0);p(4,0);p(5,0);p(5,1);p(6,1);p(7,1);p(8,1);p(9,1);p(9,2);p(9,3);p(9,4);	11183;1122;599;407;408;761;630;520;489;401;1039;336;423;
S56695602	easy_large_loop_1	2	28	p(0,4)p(0,3);p(0,2);p(0,1);p(0,0);p(1,0);p(2,0);p(3,0);p(4,0);p(4,1);p(4,2);p(4,3);p(4,4);p(5,4);p(6,4);p(6,3);	2049;1073;335;848;752;368;391;425;632;400;400;487;409;535;377;
S56695602	easy_spider_1	3	61	p(2,3)p(3,3);p(4,3);p(5,3);p(5,2);p(5,1);p(5,0);p(5,1);p(5,2);p(5,3);p(6,3);p(7,3);p(8,3);p(8,4);p(8,5);p(8,6);p(7,6);p(8,6);p(8,5);p(8,4);p(8,3);p(7,3);p(6,3);p(5,3);p(4,3);p(3,3);p(2,3);p(2,4);p(2,5);p(2,6);p(1,6);p(0,6);p(0,5);p(0,4);	1451;2480;591;1088;489;359;992;392;321;607;384;368;520;720;496;569;1183;353;351;417;760;455;496;583;633;600;392;495;529;752;767;1025;408;
S56695602	easy_spider_3	4	78	p(2,3)p(2,2);p(2,1);p(1,1);p(0,1);p(1,1);p(2,1);p(2,2);p(2,3);p(3,3);p(4,3);p(4,2);p(4,3);p(5,3);p(6,3);p(6,2);p(6,1);p(6,0);	3628;447;689;687;697;520;384;384;408;384;368;1255;408;426;903;288;328;
S56695602	easy_spider_3_copy	5	89	p(2,5)p(3,5);p(4,5);p(5,5);p(6,5);p(7,5);p(8,5);p(9,5);p(10,5);p(9,5);p(9,6);p(9,7);	1659;664;416;432;463;753;552;672;696;401;375;
S56695602	easy_large_loop_2_copy	6	120	p(0,0)p(1,0);p(2,0);p(3,0);p(4,0);p(5,0);p(6,0);p(7,0);p(7,1);p(8,1);p(9,1);p(10,1);p(11,1);p(12,1);p(13,1);p(13,2);p(13,3);p(13,2);p(13,1);p(12,1);p(11,1);p(10,1);p(9,1);p(8,1);p(7,1);p(7,2);p(7,3);p(7,4);p(7,5);p(7,6);p(7,7);p(6,7);	2036;471;424;383;385;512;384;544;1279;400;361;400;2296;415;721;408;976;480;441;407;438;362;400;424;392;408;360;471;472;456;968;
S56695602	easy_labyrinth	7	126	p(0,2)p(1,2);p(2,2);p(3,2);p(4,2);p(4,1);p(4,0);	2650;1631;360;616;1122;286;
S56695602	easy_spider_2	8	156	p(4,5)p(4,4);p(4,3);p(4,2);p(4,1);p(3,1);p(2,1);p(3,1);p(4,1);p(4,2);p(4,3);p(4,4);p(4,5);p(3,5);p(2,5);p(1,5);p(0,5);p(1,5);p(2,5);p(3,5);p(4,5);p(4,4);p(4,3);p(4,2);p(4,1);p(5,1);p(6,1);p(6,2);p(6,3);p(6,4);p(7,4);	2318;1095;504;417;1015;945;689;374;928;392;536;386;615;455;808;472;1031;401;404;372;344;352;329;318;809;440;360;359;360;513;
S56695602	medium_cathedral	9	191	p(2,4)p(3,4);p(4,4);p(4,3);p(4,2);p(4,1);p(4,0);p(5,0);p(6,0);p(5,0);p(4,0);p(4,1);p(4,2);p(4,3);p(4,4);p(4,5);p(4,6);p(4,7);p(4,8);p(5,8);p(6,8);p(7,8);p(6,8);p(5,8);p(4,8);p(4,7);p(4,6);p(4,5);p(4,4);p(3,4);p(2,4);p(1,4);p(0,4);p(0,5);p(0,6);p(0,7);	2163;864;320;305;734;488;1841;416;1015;824;784;1072;409;415;808;689;687;880;1761;585;534;768;536;1152;632;712;352;728;488;607;416;536;34927;328;336;
S56695602	medium_cathedral_copy	10	230	p(4,4)p(5,4);p(6,4);p(7,4);p(8,4);p(8,3);p(8,2);p(8,1);p(8,0);p(9,0);p(10,0);p(9,0);p(8,0);p(8,1);p(8,2);p(8,3);p(8,4);p(8,5);p(8,6);p(8,7);p(8,8);p(8,7);p(8,6);p(8,5);p(8,4);p(7,4);p(6,4);p(5,4);p(4,4);p(3,4);p(2,4);p(1,4);p(0,4);p(0,3);p(0,2);p(0,3);p(0,4);p(0,5);p(0,6);p(0,7);	26713;424;416;689;415;696;616;448;960;575;5033;464;432;376;367;377;376;360;391;440;1048;872;368;568;649;599;424;456;744;488;616;960;360;321;2423;392;424;424;633;
